Name,Pos,Bats,Thr,Proj WAR,Med Years,Med Total,Med AAV
Mark Leiter Jr.,RP,R,R,0.433779,0,0,0
Jakob Junis,RP,R,R,0.341011,0,0,0
Chris Martin,RP,R,R,0.565815,0,0,0
Willi Castro,2B/3B/SS/OF,S,R,1.253648,0,0,0
Hunter Harvey,RP,R,R,0.795969,0,0,0
Luke Weaver,RP,R,R,0.383374,2,14000000,7000000
Amed Rosario,3B/2B/RF/LF,R,R,1.181594,0,0,0
Max Scherzer,SP,R,R,1.436407,1,12500000,12500000
Dominic Smith,1B,L,L,0.119308,0,0,0
Andy Ibáñez,3B/2B/1B,R,R,0.36099,0,0,0
Andrew Chafin,RP,R,L,0.250064,0,0,0
Elias Díaz,C,R,R,0.264765,0,0,0
Cal Quantrill,SP,L,R,0.558538,0,0,0
Ben Lively,SP,R,R,0,0,0,0
Albert Suárez,RP,R,R,0.152575,0,0,0
Taylor Clarke,RP,R,R,0.180575,0,0,0
Charlie Morton,SP,R,R,0.772865,0,0,0
Luke Maile,C,R,R,0.333825,0,0,0
Carlos Santana,1B,S,R,0.368475,1,6000000,6000000
Jake Fraley,LF/RF,L,L,0.709965,0,0,0
Ryan Brasier,RP,R,R,0.221642,0,0,0
Germán Márquez,SP,R,R,0.92259,0,0,0
Ha-Seong Kim,SS,R,R,2.397342,3,45000000,15000000
Miles Mikolas,SP,R,R,1.19418,0,0,0
Max Kranick,RP,R,R,0,0,0,0
Jorge López,RP,R,R,0.022443,0,0,0
Pierce Johnson,RP,R,R,0.348933,1,5000000,5000000
Christian Vázquez,C,R,R,0.758513,1,5000000,5000000
DJ LeMahieu,2B/1B/3B,R,R,0.113739,0,0,0
Ryan Helsley,RP,R,R,0.827085,2,21600000,10800000
Evan Phillips,RP,R,R,0.301131,0,0,0
Jacob Webb,RP,R,R,0.013025,0,0,0
Andrew Knizner,C,R,R,0.376287,0,0,0
Paul Blackburn,SP,R,R,1.01427,0,0,0
Ildemaro Vargas,3B/2B/SS/1B,S,R,0.244326,0,0,0
Jalen Beeks,RP,L,L,0.219057,0,0,0
Paul DeJong,SS/3B/2B,R,R,0.20313,0,0,0
Tommy Pham,LF/RF,R,R,0.495901,0,0,0
Josh Winckowski,RP,R,R,0.351012,0,0,0
Dauri Moreta,RP,R,R,0.240168,0,0,0
Tomás Nido,C,R,R,0.010705,0,0,0
Tim Anderson,SS/2B,R,R,-0.00588,0,0,0
Luis Urías,2B/3B/SS,R,R,0.486788,0,0,0
Scott Barlow,RP,R,R,0.278067,0,0,0
Tyler Anderson,SP,L,L,0.710616,0,0,0
Ryan Yarbrough,SP,R,L,0.066755,0,0,0
Luis Garcia,SP,R,R,,0,0,0
Rafael Montero,RP,R,R,0.008773,0,0,0
Brent Suter,RP,L,L,-0.01951,0,0,0
Marcus Stroman,SP,R,R,0.987404,1,8000000,8000000
Ryne Stanek,RP,R,R,0.232789,0,0,0
Josh Bell,1B,S,R,1.189958,1,5000000,5000000
